date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:47	5249/5249	---M-Z	200	added ('OK')	text/css	etag:%221481-58d63fa16fae9-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/vendor/magnific-popup.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/vendor/magnific-popup.css	(from http://axilthemes.com/demo/template/papr/)
10:30:47	153136/153136	---M-Z	200	added ('OK')	text/css	etag:%2225630-58d63fa16fae9-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/vendor/bootstrap.min.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/vendor/bootstrap.min.css	(from http://axilthemes.com/demo/template/papr/)
10:30:47	85536/85536	---M-Z	200	added ('OK')	text/css	etag:%2214e20-58d63fa16fae9-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/vendor/animate.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/vendor/animate.css	(from http://axilthemes.com/demo/template/papr/)
10:30:49	182811/182811	---M-Z	200	added ('OK')	text/css	etag:%222ca1b-58ee0a96f6335-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/style.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/style.css	(from http://axilthemes.com/demo/template/papr/)
10:30:51	48929/48929	---M-Z	200	added ('OK')	text/html	etag:%22bf21-58ed0fc7a9252-gzip%22	http://axilthemes.com/demo/template/papr/business.html	papr/papr/axilthemes.com/demo/template/papr/business.html	(from http://axilthemes.com/demo/template/papr/)
10:30:52	53248/53248	---M-Z	200	added ('OK')	text/html	etag:%22d000-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/lifestyle.html	papr/papr/axilthemes.com/demo/template/papr/lifestyle.html	(from http://axilthemes.com/demo/template/papr/)
10:30:53	38687/38687	---M--	200	added ('OK')	image/jpeg	etag:%22971f-58e09ef9e0697%22	http://axilthemes.com/demo/template/papr/assets/images/subscribe-popup-img.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/subscribe-popup-img.jpg	(from http://axilthemes.com/demo/template/papr/)
10:30:53	48947/48947	---M-Z	200	added ('OK')	text/html	etag:%22bf33-58ed0fc7ab192-gzip%22	http://axilthemes.com/demo/template/papr/technology.html	papr/papr/axilthemes.com/demo/template/papr/technology.html	(from http://axilthemes.com/demo/template/papr/)
10:30:54	48908/48908	---M-Z	200	added ('OK')	text/html	etag:%22bf0c-58ed0fc7ab192-gzip%22	http://axilthemes.com/demo/template/papr/sports.html	papr/papr/axilthemes.com/demo/template/papr/sports.html	(from http://axilthemes.com/demo/template/papr/)
10:30:54	47446/47446	---M-Z	200	added ('OK')	text/html	etag:%22b956-58ed0fc7a82b1-gzip%22	http://axilthemes.com/demo/template/papr/about-us.html	papr/papr/axilthemes.com/demo/template/papr/about-us.html	(from http://axilthemes.com/demo/template/papr/)
10:30:55	25528/25528	---M-Z	200	added ('OK')	text/html	etag:%2263b8-58ed0fc7a9252-gzip%22	http://axilthemes.com/demo/template/papr/contact.html	papr/papr/axilthemes.com/demo/template/papr/contact.html	(from http://axilthemes.com/demo/template/papr/)
10:30:57	81152/81152	---M-Z	200	added ('OK')	text/html	etag:%2213d00-58ed223612849-gzip%22	http://axilthemes.com/demo/template/papr/index.html	papr/papr/axilthemes.com/demo/template/papr/index-2.html	(from http://axilthemes.com/demo/template/papr/)
